loudness_in_range_query,popular_songs_query,artist_albums_query,popular_featured_track_query,update,insert
0.031,0.002,0.20164084434509277,0.4082024097442627,0.10491657257080078,0.0426945686340332
0.031,0.002,0.1816086769104004,0.4103422164916992,0.13985967636108398,0.002043008804321289
0.032,0.001,0.1928868293762207,0.41581034660339355,0.13130593299865723,0.003625631332397461
0.031,0.001,0.17568206787109375,0.38564133644104004,0.1086573600769043,0.0029311180114746094
0.031,0.002,0.1873159408569336,0.39020299911499023,0.10109472274780273,0.002089977264404297
0.029,0.002,0.19379854202270508,0.37163615226745605,0.10120272636413574,0.0021257400512695312
0.026,0.003,0.18105435371398926,0.3707730770111084,0.10181760787963867,0.002017974853515625
0.028,0.002,0.18781399726867676,0.37801480293273926,0.10498261451721191,0.0015459060668945312
0.027,0.001,0.18809294700622559,0.370941162109375,0.10638284683227539,0.002019643783569336
0.027,0.002,0.18601346015930176,0.3659851551055908,0.10076260566711426,0.001020669937133789
0.027,0.001,0.1851339340209961,0.3763546943664551,0.10166192054748535,0.0011415481567382812
0.028,0.002,0.1765298843383789,0.36835670471191406,0.10376834869384766,0.0015215873718261719
0.028,0.002,0.19258546829223633,0.37545037269592285,0.101318359375,0.0020444393157958984
0.029,0.002,0.17994284629821777,0.3689882755279541,0.10161852836608887,0.0005345344543457031
0.027,0.002,0.18908286094665527,0.36946821212768555,0.10351896286010742,0.002057313919067383
0.026,0.001,0.18245482444763184,0.36240577697753906,0.10037827491760254,0.002177715301513672
0.027,0.001,0.1794581413269043,0.36277341842651367,0.10483241081237793,0.0020132064819335938
0.03,0.002,0.17625212669372559,0.3804769515991211,0.10243844985961914,0.001712799072265625
0.025,0.002,0.17113494873046875,0.3904857635498047,0.10227513313293457,0.0034019947052001953
0.027,0.002,0.18620038032531738,0.3669555187225342,0.10195469856262207,0.0010037422180175781
0.028,0.002,0.17561817169189453,0.3671445846557617,0.1029353141784668,0.0011584758758544922
0.035,0.002,0.18370652198791504,0.36483144760131836,0.1008908748626709,0.0012290477752685547
0.037,0.002,0.18107366561889648,0.37229204177856445,0.10396814346313477,0.001016378402709961
0.036,0.002,0.17214298248291016,0.3668234348297119,0.10196805000305176,0.002488851547241211
0.029,0.002,0.18198204040527344,0.3664884567260742,0.10046076774597168,0.001928091049194336
0.028,0.002,0.21253609657287598,0.367279052734375,0.10340046882629395,0.0020051002502441406
0.028,0.002,0.17397618293762207,0.36363959312438965,0.10407304763793945,0.0027272701263427734
0.028,0.003,0.16604924201965332,0.35851287841796875,0.10180473327636719,0.0010938644409179688
0.029,0.002,0.17507672309875488,0.37380480766296387,0.1011815071105957,0.0020287036895751953
0.028,0.004,0.17906975746154785,0.3674907684326172,0.10100293159484863,0.0014948844909667969
