loudness_in_range_query,popular_songs_query,artist_albums_query,popular_featured_track_query,update,insert
0.055,0.034,1.1055865287780762,4.198058605194092,0.13649749755859375,0.004987239837646484
0.053,0.034,1.0347776412963867,3.9191339015960693,0.11223125457763672,0.0035767555236816406
0.06,0.035,1.0363502502441406,3.886972665786743,0.11689877510070801,0.002516508102416992
0.062,0.041,1.0519168376922607,4.105123519897461,0.09957528114318848,0.0026559829711914062
0.063,0.04,1.0447568893432617,3.922661304473877,0.10787034034729004,0.0020287036895751953
0.057,0.047,1.043999433517456,4.01675271987915,0.11873340606689453,0.0025382041931152344
0.055,0.036,1.0453741550445557,3.9436590671539307,0.10670614242553711,0.0010082721710205078
0.057,0.036,1.0616934299468994,3.9094889163970947,0.10210633277893066,0.0030486583709716797
0.059,0.037,1.0197715759277344,3.915950059890747,0.10860943794250488,0.001077413558959961
0.055,0.037,1.0283970832824707,4.013502597808838,0.10311555862426758,0.0011088848114013672
0.06,0.037,1.04420804977417,4.099007844924927,0.10852408409118652,0.0020160675048828125
0.056,0.037,1.0377886295318604,4.002350568771362,0.10467147827148438,0.0015058517456054688
0.063,0.035,1.0305266380310059,3.9304943084716797,0.10230851173400879,0.0010442733764648438
0.059,0.034,1.0369856357574463,4.121274948120117,0.10564923286437988,0.002232074737548828
0.057,0.035,1.0272290706634521,3.9080660343170166,0.10398745536804199,0.0
0.054,0.036,1.0293364524841309,3.939854860305786,0.10895156860351562,0.0024318695068359375
0.055,0.036,1.057598352432251,3.9449048042297363,0.10069870948791504,0.0010080337524414062
0.058,0.034,1.0174901485443115,3.8924217224121094,0.10582733154296875,0.001004934310913086
0.056,0.035,1.0183844566345215,3.9594533443450928,0.10162878036499023,0.002703428268432617
0.058,0.035,1.0248024463653564,3.9334335327148438,0.10138440132141113,0.001232147216796875
0.056,0.042,1.0625996589660645,3.804678440093994,0.10091257095336914,0.002376079559326172
0.062,0.037,1.0515613555908203,3.8976454734802246,0.10378599166870117,0.0034418106079101562
0.058,0.035,1.0466058254241943,3.9823009967803955,0.1018836498260498,0.0
0.056,0.035,1.0907275676727295,3.958029270172119,0.10578417778015137,0.0011134147644042969
0.057,0.035,1.0507125854492188,3.9850800037384033,0.10106301307678223,0.0012803077697753906
0.056,0.035,1.0350394248962402,4.042799234390259,0.10540580749511719,0.0015392303466796875
0.059,0.035,1.0529224872589111,3.9578802585601807,0.10378360748291016,0.0
0.059,0.038,1.0199151039123535,3.915414333343506,0.10650777816772461,0.0010666847229003906
0.057,0.036,1.0121712684631348,3.9449825286865234,0.10459446907043457,0.001012563705444336
0.055,0.033,1.0159006118774414,3.928079128265381,0.09960603713989258,0.0013697147369384766
